,NAME,Summary,DrugBank Accession Number,Background,Groups,Weight,Indication,CancerType
0,Afatinib 1/2,Afatinib is an antineoplastic agent used for the treatment of locally advanced or metastatic non-small cell lung cancer (NSCLC) with non-resistant EGFR mutations or resistance to platinum-based chemotherapy.,DB08916,"Afatinib is a 4-anilinoquinazoline tyrosine kinase inhibitor in the form of a dimaleate salt available as Boehringer Ingelheim's brand name Gilotrif Label. For oral use, afatinib tablets are a first-line (initial) treatment for patients with metastatic non-small cell lung cancer (NSCLC) with common epidermal growth factor receptor (EGFR) mutations as detected by an FDA-approved test 4. Gilotrif (afatinib) is the first FDA-approved oncology product from Boehringer Ingelheim 4.
",Approved,485.938,"Afatinib is a kinase inhibitor indicated as monotherapy 3 for the first-line Label treatment of (a) Epidermal Growth Factor Receptor (EGFR) TKI (tyrosine kinase inhibitor)-naive adult patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) whose tumours have non-resistant EGFR mutations as detected by an FDA-approved test Label, and (b) adult patients with locally advanced or metastatic NSCLC of squamous histology progressing on or after platinum-based chemotherapy Label,3.
Recently, as of January 2018, the US FDA approved a supplemental New Drug Application for Boehringer Ingelheim's Gilotrif (afatinib) for the first line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have non-resistant epidermal growth factor receptor (EGFR) mutations as detected by an FDA-approved test 4. The new label includes data on three additional EGFR mutations: L861Q, G719X and S768I 4.
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how",LUNG
1,Afatinib 2/2,Afatinib is an antineoplastic agent used for the treatment of locally advanced or metastatic non-small cell lung cancer (NSCLC) with non-resistant EGFR mutations or resistance to platinum-based chemotherapy.,DB08916,"Afatinib is a 4-anilinoquinazoline tyrosine kinase inhibitor in the form of a dimaleate salt available as Boehringer Ingelheim's brand name Gilotrif Label. For oral use, afatinib tablets are a first-line (initial) treatment for patients with metastatic non-small cell lung cancer (NSCLC) with common epidermal growth factor receptor (EGFR) mutations as detected by an FDA-approved test 4. Gilotrif (afatinib) is the first FDA-approved oncology product from Boehringer Ingelheim 4.
",Approved,485.938,"Afatinib is a kinase inhibitor indicated as monotherapy 3 for the first-line Label treatment of (a) Epidermal Growth Factor Receptor (EGFR) TKI (tyrosine kinase inhibitor)-naive adult patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) whose tumours have non-resistant EGFR mutations as detected by an FDA-approved test Label, and (b) adult patients with locally advanced or metastatic NSCLC of squamous histology progressing on or after platinum-based chemotherapy Label,3.
Recently, as of January 2018, the US FDA approved a supplemental New Drug Application for Boehringer Ingelheim's Gilotrif (afatinib) for the first line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have non-resistant epidermal growth factor receptor (EGFR) mutations as detected by an FDA-approved test 4. The new label includes data on three additional EGFR mutations: L861Q, G719X and S768I 4.
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how",LUNG
2,AKT inhibitor VIII 1/2,,,,,,,
3,AKT inhibitor VIII 2/2,,,,,,,
4,Avagacestat 1/2,,DB11893,"Avagacestat has been investigated for the basic science and treatment of Alzheimer Disease.
",Investigational,520.88,Not Available,
5,Avagacestat 2/2,,DB11893,"Avagacestat has been investigated for the basic science and treatment of Alzheimer Disease.
",Investigational,520.88,Not Available,
6,AZD6482 1/2,,DB14980,"AZD-6482 is under investigation in clinical trial NCT00688714 (Study to Investigate Safety and Tolerability of a Single Dose of AZD6482).
",Investigational,408.458,Not Available,
7,AZD6482 2/2,,DB14980,"AZD-6482 is under investigation in clinical trial NCT00688714 (Study to Investigate Safety and Tolerability of a Single Dose of AZD6482).
",Investigational,408.458,Not Available,
8,Bicalutamide 1/2,Bicalutamide is an androgen receptor inhibitor used to treat Stage D2 metastatic carcinoma of the prostate.,DB01128,"Bicalutamide is an oral non-steroidal anti-androgen for prostate cancer. It is comprised of a racemic mixture that is a 50:50 composition of the (R)-bicalutamide and (S)-bicalutamide enantionmers. Bicalutamide binds to the androgen receptor.
",Approved,430.373,"Bicalutamide is indicated in combination with a luteinizing hormone-releasing hormone (LHRH) agonist for the treatment of Stage D2 metastatic carcinoma of the prostate.1
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how",PROSTATE
9,Bicalutamide 2/2,Bicalutamide is an androgen receptor inhibitor used to treat Stage D2 metastatic carcinoma of the prostate.,DB01128,"Bicalutamide is an oral non-steroidal anti-androgen for prostate cancer. It is comprised of a racemic mixture that is a 50:50 composition of the (R)-bicalutamide and (S)-bicalutamide enantionmers. Bicalutamide binds to the androgen receptor.
",Approved,430.373,"Bicalutamide is indicated in combination with a luteinizing hormone-releasing hormone (LHRH) agonist for the treatment of Stage D2 metastatic carcinoma of the prostate.1
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how",PROSTATE
